nom du projet;nom du site;nom de la plateforme;outil de mesure;commentaire sonde;date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);oxygene saturation (%);ph tc (nounit);Température (°c)
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:53;26.745;23.57;9.65;73.942;;4.18
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:53;28.061;23.62;9.64;73.8858;;4.19
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:53;28.959;23.66;9.63;73.8064;;4.19
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:54;29.915;23.72;9.65;74.0051;;4.19
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:54;30.939;23.69;9.63;73.8474;;4.19
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:54;31.878;23.63;9.64;73.8925;;4.2
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:55;32.909;23.66;9.62;73.7992;;4.19
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:55;34.013;23.57;9.6;73.5874;;4.19
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:55;35.045;23.71;9.59;73.5181;;4.19
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:56;36.028;23.46;9.58;73.4874;;4.19
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:56;36.963;23.62;9.6;73.5753;;4.18
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:56;37.978;23.61;9.57;73.3425;;4.18
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:57;39.008;23.58;9.57;73.3304;;4.16
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:57;39.832;23.53;9.57;73.3179;;4.16
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:57;39.93;23.37;9.57;73.2914;;4.16
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:57;40.942;23.46;9.58;73.4235;;4.16
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:58;42.098;23.34;9.55;73.1437;;4.16
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:58;43.143;23.34;9.58;73.3639;;4.15
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:58;44.164;23.3;9.55;73.1246;;4.15
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:58;45.162;23.32;9.54;73.0206;;4.13
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:59;46.23;23.45;9.54;72.8449;;4.05
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:59;47.143;23.49;9.52;72.6599;;4.02
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;14:59;48.076;23.29;9.52;72.7033;;4.02
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;15:00;48.82;23.46;9.52;72.6594;;4.0
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;memodat onema;;12/08/2014;15:00;49.436;23.55;9.51;72.4466;;3.93
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:20;0.053;35.2;7.95;74.3;7.64;12.326
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:18;0.21;28.9;7.05;66.2;7.02;12.529
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:21;0.435;35.3;7.94;74.1;7.68;12.207
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:19;0.443;35.1;7.72;71.9;7.33;12.201
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:21;0.444;35.3;7.97;74.2;7.69;12.12
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:18;0.464;35.4;7.48;69.6;7.16;12.151
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:19;0.482;35.2;7.88;73.4;7.47;12.167
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:19;0.501;35.2;7.83;72.8;7.4;12.109
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:20;0.538;35.2;7.92;73.7;7.58;12.12
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:20;0.539;35.3;7.94;73.9;7.62;12.101
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:21;1.018;35.3;7.97;73.7;7.67;11.842
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:22;1.182;35.3;8.02;73.8;7.69;11.635
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:22;2.294;37.0;8.37;72.8;7.89;9.249
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:22;2.297;36.8;8.75;75.8;8.06;9.064
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:23;3.365;38.0;9.24;74.9;8.28;6.343
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:23;4.374;38.3;9.67;75.7;8.5;5.005
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:23;4.375;38.2;9.41;75.5;8.4;5.907
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:24;4.376;38.2;9.71;76.0;8.53;5.017
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:24;5.342;38.2;9.71;75.1;8.51;4.535
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:24;5.344;38.1;9.72;75.3;8.53;4.587
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:25;6.37;38.4;9.68;74.3;8.47;4.228
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:25;7.512;38.5;9.59;73.2;8.42;4.01
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:25;7.518;38.6;9.48;72.3;8.38;3.994
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:30;7.565;38.7;9.08;69.3;7.89;4.007
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:26;8.524;38.6;9.41;71.8;8.29;4.022
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:26;9.472;38.7;9.35;71.3;8.24;4.002
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:26;9.525;38.8;9.29;70.9;8.18;3.987
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:27;10.547;38.9;9.24;70.4;8.11;3.962
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:27;11.487;39.1;9.19;70.0;8.0;3.964
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:27;11.5;38.9;9.21;70.2;8.06;3.969
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:30;11.574;38.8;9.18;70.1;7.96;3.994
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:30;12.242;39.5;9.04;68.7;7.82;3.9
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:28;12.358;39.2;9.11;69.5;7.92;3.996
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:28;12.415;39.1;9.15;69.8;7.95;3.995
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:29;12.488;39.3;9.07;69.1;7.86;3.979
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:29;12.521;39.2;9.08;69.2;7.88;3.993
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:28;12.59;39.1;9.09;69.3;7.89;3.991
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:29;13.497;39.5;9.05;68.9;7.82;3.91
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:31;13.523;39.4;9.13;69.5;7.93;3.958
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:31;14.538;39.4;9.06;69.0;7.9;3.953
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:31;14.591;39.4;9.02;68.7;7.87;3.941
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:32;15.552;39.5;9.0;68.5;7.86;3.925
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:32;16.525;39.4;8.98;68.4;7.84;3.946
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:32;16.538;39.3;8.97;68.4;7.83;3.953
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:33;17.596;39.5;8.96;68.2;7.82;3.925
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:33;18.637;39.4;8.94;68.1;7.81;3.948
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:33;18.638;39.6;8.96;68.2;7.81;3.921
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:34;19.127;39.4;8.94;68.1;7.8;3.957
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:34;19.374;39.7;8.94;68.0;7.79;3.903
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:34;20.551;39.7;8.93;67.9;7.78;3.881
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:35;21.598;39.6;8.93;67.9;7.77;3.9
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:39;22.112;39.6;8.91;67.6;7.78;3.809
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:35;22.629;39.7;8.91;67.7;7.78;3.85
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:35;22.645;39.7;8.92;67.8;7.77;3.863
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:36;23.443;39.8;8.9;67.6;7.77;3.823
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:36;24.373;39.7;8.9;67.6;7.77;3.804
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:39;25.159;39.6;8.9;67.7;7.79;3.857
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:36;25.374;39.7;8.9;67.6;7.77;3.803
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:37;25.391;39.5;8.9;67.5;7.77;3.799
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:37;26.158;39.6;8.89;67.5;7.77;3.804
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:37;26.221;39.6;8.89;67.5;7.77;3.802
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:38;26.562;39.7;8.87;67.4;7.77;3.843
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:38;27.256;39.6;8.88;67.4;7.76;3.82
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:38;27.269;39.6;8.88;67.4;7.77;3.822
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:39;28.952;39.7;8.88;67.5;7.78;3.848
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:40;30.188;39.8;8.86;67.3;7.75;3.858
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:40;32.364;39.8;8.83;67.1;7.76;3.861
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:40;32.368;39.7;8.84;67.2;7.76;3.861
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:41;33.535;39.8;8.83;67.1;7.76;3.864
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:41;33.821;39.9;8.81;67.0;7.76;3.853
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:42;34.219;39.9;8.81;67.0;7.77;3.853
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:41;34.397;39.9;8.81;67.0;7.76;3.851
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:42;36.288;39.9;8.8;66.9;7.76;3.844
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:42;36.369;40.0;8.8;66.8;7.76;3.832
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:43;37.37;40.0;8.8;66.8;7.77;3.832
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:43;38.343;40.1;8.79;66.7;7.75;3.81
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:43;38.453;40.2;8.79;66.7;7.76;3.809
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:44;38.455;40.2;8.78;66.7;7.77;3.81
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:44;39.5;40.3;8.78;66.6;7.77;3.79
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:44;40.338;40.3;8.77;66.5;7.77;3.791
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:45;40.339;40.3;8.77;66.5;7.78;3.792
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:45;40.383;40.3;8.76;66.5;7.78;3.8
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:46;41.937;40.2;8.75;66.5;7.79;3.82
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:45;42.438;40.2;8.76;66.5;7.78;3.806
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:46;42.556;40.2;8.75;66.5;7.78;3.824
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:46;43.495;40.2;8.75;66.4;7.79;3.814
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:47;44.524;40.2;8.74;66.4;7.78;3.817
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:49;45.224;40.2;8.74;66.3;7.79;3.779
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:47;45.789;40.2;8.73;66.3;7.79;3.802
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:49;45.911;40.1;8.73;66.3;7.79;3.804
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:47;46.583;40.1;8.73;66.3;7.79;3.817
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:48;46.946;40.2;8.73;66.2;7.78;3.797
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:48;47.447;40.3;8.71;66.0;7.76;3.749
Suivi des lacs sentinelles;Pavé;Pavé : centroïde;sonde exo ONEMA;;11/08/2015;14:48;47.652;40.2;8.72;66.2;7.77;3.795
