date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph tc (nounit);Température (°c)
;;0.714;6.0;10.86;7.45;10.54
;;0.741;6.0;10.86;7.45;10.539
;;0.767;6.0;10.86;7.45;10.538
;;0.792;6.0;10.86;7.45;10.538
;;0.82;6.0;10.86;7.45;10.537
;;0.844;6.0;10.86;7.44;10.537
;;0.867;6.0;10.86;7.44;10.536
;;0.889;6.0;10.86;7.44;10.535
;;0.914;6.0;10.86;7.44;10.534
;;0.935;6.0;10.86;7.44;10.534
;;0.955;6.0;10.86;7.44;10.533
;;0.975;6.0;10.86;7.43;10.533
;;0.996;6.0;10.86;7.43;10.532
;;1.021;6.0;10.86;7.43;10.532
;;1.043;6.0;10.86;7.43;10.531
;;1.063;6.0;10.85;7.43;10.531
;;1.083;6.0;10.85;7.42;10.53
;;1.106;6.0;10.85;7.42;10.53
;;1.126;6.0;10.85;7.42;10.529
;;1.145;6.0;10.85;7.42;10.529
;;1.163;6.0;10.85;7.42;10.529
;;1.185;6.0;10.85;7.42;10.529
;;1.202;6.0;10.85;7.41;10.529
;;1.22;6.0;10.85;7.41;10.529
;;1.238;6.0;10.85;7.41;10.529
;;1.255;6.0;10.85;7.41;10.529
;;1.276;6.0;10.85;7.41;10.529
;;1.293;6.0;10.85;7.4;10.529
;;1.311;6.0;10.85;7.4;10.53
;;1.329;6.0;10.85;7.4;10.53
;;1.35;6.0;10.85;7.4;10.531
;;1.367;6.0;10.85;7.4;10.532
;;1.384;6.0;10.85;7.4;10.532
;;1.401;6.0;10.85;7.4;10.532
;;1.421;6.0;10.85;7.39;10.532
;;1.438;6.0;10.85;7.39;10.532
;;1.455;6.0;10.85;7.39;10.531
;;1.472;6.0;10.85;7.39;10.53
;;1.492;6.0;10.85;7.39;10.53
;;1.508;6.0;10.85;7.39;10.529
;;1.524;6.0;10.85;7.39;10.529
;;1.54;6.0;10.85;7.39;10.529
;;1.556;6.0;10.85;7.39;10.527
;;1.575;6.0;10.85;7.39;10.525
;;1.591;6.0;10.85;7.39;10.523
;;1.607;6.0;10.85;7.39;10.522
;;1.624;6.0;10.85;7.39;10.52
;;1.644;6.0;10.85;7.39;10.519
;;1.661;6.0;10.85;7.39;10.518
;;1.677;6.0;10.85;7.39;10.517
;;1.693;6.0;10.85;7.39;10.517
;;1.708;6.0;10.85;7.39;10.516
;;1.726;6.0;10.85;7.39;10.516
;;1.741;6.0;10.84;7.39;10.515
;;1.756;6.0;10.84;7.38;10.515
;;1.77;6.0;10.84;7.38;10.514
;;1.786;6.0;10.84;7.38;10.515
;;1.799;6.0;10.84;7.38;10.515
;;1.812;6.0;10.84;7.38;10.515
;;1.827;6.0;10.84;7.38;10.515
;;1.84;6.0;10.84;7.38;10.515
;;1.852;6.0;10.84;7.38;10.515
;;1.864;6.0;10.84;7.38;10.515
;;1.877;6.0;10.84;7.38;10.515
;;1.892;6.0;10.84;7.38;10.514
;;1.903;6.0;10.84;7.37;10.514
;;1.915;6.0;10.83;7.37;10.514
;;1.926;6.0;10.84;7.37;10.514
;;1.938;6.0;10.84;7.37;10.513
;;1.952;6.0;10.84;7.37;10.513
;;1.964;6.0;10.84;7.37;10.513
;;1.975;6.0;10.84;7.37;10.513
;;1.986;6.0;10.84;7.37;10.513
;;1.999;6.0;10.84;7.37;10.512
;;2.01;6.0;10.84;7.36;10.512
;;2.021;6.0;10.84;7.36;10.511
;;2.032;6.0;10.84;7.36;10.511
;;2.047;6.0;10.84;7.36;10.511
;;2.058;6.0;10.84;7.36;10.51
;;2.069;6.0;10.84;7.36;10.51
;;2.081;6.0;10.84;7.35;10.509
;;2.095;6.0;10.83;7.35;10.509
;;2.107;6.0;10.83;7.35;10.508
;;2.119;6.0;10.83;7.35;10.508
;;2.131;6.0;10.83;7.35;10.508
;;2.143;6.0;10.83;7.35;10.507
;;2.158;6.0;10.83;7.34;10.507
;;2.171;6.0;10.83;7.34;10.508
;;2.185;6.0;10.83;7.34;10.508
;;2.199;6.0;10.83;7.34;10.508
;;2.216;6.0;10.83;7.34;10.508
;;2.231;6.0;10.82;7.34;10.508
;;2.246;6.0;10.82;7.34;10.508
;;2.261;6.0;10.82;7.34;10.507
;;2.277;6.0;10.82;7.33;10.507
;;2.297;6.0;10.82;7.33;10.506
;;2.314;6.0;10.82;7.33;10.506
;;2.331;6.0;10.82;7.33;10.505
;;2.349;6.0;10.82;7.33;10.504
;;2.369;6.0;10.82;7.33;10.503
;;2.386;6.0;10.82;7.33;10.502
;;2.404;6.0;10.82;7.32;10.501
;;2.422;6.0;10.81;7.32;10.5
;;2.444;6.0;10.81;7.32;10.499
;;2.462;6.0;10.81;7.32;10.498
;;2.481;6.0;10.81;7.32;10.497
;;2.499;6.0;10.81;7.32;10.496
;;2.522;6.0;10.81;7.31;10.496
;;2.541;6.0;10.81;7.31;10.496
;;2.56;6.0;10.81;7.31;10.495
;;2.579;6.0;10.81;7.31;10.494
;;2.599;6.0;10.81;7.31;10.494
;;2.623;6.0;10.81;7.31;10.494
;;2.642;6.0;10.81;7.3;10.493
;;2.661;6.0;10.81;7.3;10.493
;;2.681;6.0;10.81;7.3;10.492
;;2.704;6.0;10.81;7.3;10.492
;;2.724;6.0;10.8;7.3;10.492
;;2.743;6.0;10.8;7.3;10.491
;;2.763;6.0;10.8;7.3;10.491
;;2.782;6.0;10.8;7.3;10.49
;;2.805;6.0;10.8;7.3;10.49
;;2.824;6.0;10.8;7.29;10.49
;;2.843;6.0;10.8;7.29;10.49
;;2.862;6.0;10.8;7.29;10.49
;;2.886;6.0;10.8;7.29;10.489
;;2.905;6.0;10.8;7.29;10.49
;;2.924;6.0;10.8;7.29;10.49
;;2.943;6.0;10.8;7.29;10.49
;;2.966;6.0;10.8;7.29;10.49
;;2.986;6.0;10.79;7.29;10.49
;;3.006;6.0;10.79;7.29;10.49
;;3.026;6.0;10.79;7.29;10.491
;;3.045;6.0;10.79;7.29;10.491
;;3.069;6.0;10.79;7.29;10.491
;;3.089;6.0;10.79;7.28;10.491
;;3.109;6.0;10.79;7.28;10.491
;;3.129;6.0;10.79;7.28;10.49
;;3.152;6.0;10.79;7.28;10.49
;;3.171;6.0;10.79;7.28;10.489
;;3.191;6.0;10.79;7.28;10.488
;;3.21;6.0;10.79;7.28;10.487
;;3.234;6.0;10.79;7.28;10.487
;;3.253;6.0;10.79;7.28;10.486
;;3.273;6.0;10.79;7.28;10.486
;;3.292;6.0;10.79;7.28;10.486
;;3.312;6.0;10.79;7.28;10.485
;;3.334;6.0;10.79;7.27;10.485
;;3.353;6.0;10.79;7.27;10.486
;;3.373;6.0;10.79;7.27;10.486
;;3.392;6.0;10.79;7.27;10.486
;;3.415;6.0;10.79;7.27;10.487
;;3.434;6.0;10.79;7.27;10.487
;;3.453;6.0;10.78;7.26;10.486
;;3.473;6.0;10.78;7.26;10.486
;;3.496;6.0;10.78;7.26;10.486
;;3.515;6.0;10.78;7.26;10.485
;;3.535;6.0;10.78;7.26;10.485
;;3.555;6.0;10.78;7.26;10.484
;;3.574;6.0;10.78;7.26;10.484
;;3.598;6.0;10.78;7.26;10.483
;;3.619;6.0;10.78;7.26;10.482
;;3.64;6.0;10.78;7.25;10.481
;;3.661;6.0;10.78;7.25;10.481
;;3.687;6.0;10.77;7.25;10.48
;;3.709;6.0;10.77;7.25;10.479
;;3.731;6.0;10.77;7.25;10.479
;;3.753;6.0;10.77;7.25;10.478
;;3.78;6.0;10.77;7.25;10.478
;;3.802;6.0;10.77;7.24;10.478
;;3.825;6.0;10.77;7.24;10.478
;;3.848;6.0;10.77;7.24;10.477
;;3.871;6.0;10.77;7.24;10.477
;;3.9;6.0;10.77;7.24;10.476
;;3.924;6.0;10.77;7.24;10.476
;;3.948;6.0;10.77;7.24;10.475
;;3.973;6.0;10.77;7.24;10.475
;;4.002;6.0;10.77;7.24;10.475
;;4.026;6.0;10.77;7.23;10.475
;;4.051;6.0;10.77;7.23;10.475
;;4.075;6.0;10.77;7.23;10.474
;;4.105;6.0;10.77;7.23;10.474
;;4.129;6.0;10.77;7.23;10.473
;;4.154;6.0;10.76;7.23;10.473
;;4.179;6.0;10.76;7.22;10.473
;;4.209;6.0;10.76;7.22;10.472
;;4.234;6.0;10.76;7.22;10.472
;;4.258;6.0;10.76;7.22;10.471
;;4.283;6.0;10.76;7.22;10.471
;;4.308;6.0;10.76;7.22;10.47
;;4.338;6.0;10.76;7.22;10.47
;;4.363;6.0;10.76;7.22;10.47
;;4.388;6.0;10.76;7.22;10.47
;;4.414;6.0;10.76;7.22;10.47
;;4.444;6.0;10.76;7.21;10.47
;;4.47;6.0;10.76;7.21;10.47
;;4.495;6.0;10.76;7.21;10.469
;;4.521;6.0;10.76;7.21;10.469
;;4.546;6.0;10.76;7.21;10.47
;;4.576;6.0;10.76;7.21;10.47
;;4.6;6.0;10.76;7.21;10.47
;;4.624;6.0;10.76;7.21;10.47
;;4.648;6.0;10.76;7.21;10.471
;;4.677;6.0;10.76;7.21;10.471
;;4.7;6.0;10.75;7.2;10.471
;;4.724;6.0;10.75;7.2;10.471
;;4.748;6.0;10.75;7.2;10.471
;;4.776;6.0;10.75;7.2;10.47
;;4.799;6.0;10.75;7.2;10.47
;;4.822;6.0;10.75;7.2;10.47
;;4.844;6.0;10.75;7.2;10.47
;;4.871;6.0;10.75;7.2;10.469
;;4.893;6.0;10.75;7.2;10.469
;;4.916;6.0;10.75;7.2;10.468
;;4.939;6.0;10.75;7.2;10.467
;;4.962;6.0;10.75;7.2;10.467
;;4.99;6.0;10.75;7.2;10.467
;;5.012;6.0;10.75;7.19;10.466
;;5.035;6.0;10.75;7.19;10.466
;;5.058;6.0;10.75;7.19;10.466
;;5.085;6.0;10.75;7.19;10.466
;;5.108;6.0;10.75;7.19;10.466
;;5.131;6.0;10.75;7.19;10.466
;;5.153;6.0;10.75;7.19;10.466
;;5.176;6.0;10.75;7.19;10.466
;;5.204;6.0;10.75;7.19;10.466
;;5.227;6.0;10.75;7.18;10.466
;;5.25;6.0;10.75;7.18;10.466
;;5.273;6.0;10.74;7.18;10.466
;;5.3;6.0;10.74;7.18;10.466
;;5.323;6.0;10.74;7.18;10.465
;;5.346;6.0;10.74;7.18;10.465
;;5.369;6.0;10.74;7.18;10.465
;;5.397;6.0;10.74;7.18;10.465
;;5.42;6.0;10.74;7.17;10.465
;;5.443;6.0;10.74;7.17;10.465
;;5.466;6.0;10.74;7.17;10.465
;;5.489;6.0;10.74;7.17;10.465
;;5.517;6.0;10.74;7.17;10.464
;;5.54;6.0;10.74;7.17;10.464
;;5.564;6.0;10.74;7.17;10.464
;;5.587;6.0;10.74;7.17;10.465
;;5.615;6.0;10.74;7.17;10.465
;;5.638;6.0;10.74;7.16;10.464
;;5.662;6.0;10.74;7.16;10.464
;;5.685;6.0;10.74;7.16;10.464
;;5.713;6.0;10.74;7.16;10.464
;;5.736;6.0;10.74;7.16;10.464
;;5.759;6.0;10.74;7.16;10.464
;;5.783;6.0;10.74;7.16;10.464
;;5.812;6.0;10.74;7.16;10.464
;;5.836;6.0;10.74;7.16;10.463
;;5.86;6.0;10.74;7.15;10.463
;;5.884;6.0;10.73;7.15;10.462
;;5.909;6.0;10.73;7.15;10.462
;;5.938;6.0;10.73;7.14;10.461
;;5.962;6.0;10.73;7.14;10.461
;;5.986;6.0;10.73;7.14;10.46
;;6.01;6.0;10.73;7.13;10.46
;;6.038;6.0;10.73;7.13;10.46
;;6.063;6.0;10.73;7.12;10.46
;;6.086;6.0;10.73;7.12;10.459
;;6.11;6.0;10.73;7.12;10.459
;;6.134;6.0;10.73;7.11;10.459
;;6.163;6.0;10.73;7.11;10.459
;;6.187;6.0;10.73;7.1;10.459
;;6.211;6.0;10.73;7.1;10.459
;;6.239;6.0;10.73;7.09;10.46
;;6.263;6.0;10.73;7.09;10.46
;;6.286;6.0;10.73;7.09;10.46
;;6.31;6.0;10.73;7.08;10.459
;;6.333;6.0;10.73;7.08;10.459
;;6.361;6.0;10.73;7.08;10.458
;;6.384;6.0;10.73;7.07;10.458
;;6.408;6.0;10.72;7.07;10.458
;;6.432;6.0;10.72;7.07;10.458
;;6.461;6.0;10.73;7.07;10.458
;;6.485;6.0;10.72;7.07;10.458
;;6.51;6.0;10.72;7.07;10.457
;;6.534;6.0;10.72;7.06;10.457
;;6.559;6.0;10.72;7.06;10.457
;;6.588;6.0;10.72;7.06;10.456
;;6.612;6.0;10.72;7.06;10.456
;;6.637;6.0;10.72;7.06;10.456
;;6.663;6.0;10.72;7.06;10.456
;;6.694;6.0;10.72;7.06;10.456
;;6.72;6.0;10.72;7.06;10.456
;;6.746;6.0;10.72;7.06;10.455
;;6.772;6.0;10.72;7.06;10.455
;;6.804;6.0;10.72;7.06;10.455
;;6.832;6.0;10.72;7.06;10.455
;;6.859;6.0;10.72;7.06;10.454
;;6.887;6.0;10.72;7.06;10.455
;;6.922;6.0;10.72;7.06;10.455
;;7.667;6.0;10.72;7.06;10.454
;;7.692;6.0;10.72;7.06;10.454
;;7.746;6.0;10.72;7.06;10.454
;;7.766;6.0;10.72;7.06;10.454
;;7.777;6.0;10.72;7.06;10.454
;;7.8;6.0;10.72;7.06;10.454
;;7.815;6.0;10.71;7.06;10.454
;;7.834;6.0;10.71;7.06;10.454
;;7.864;6.0;10.71;7.06;10.454
;;7.887;6.0;10.71;7.06;10.454
;;7.907;6.0;10.71;7.06;10.454
;;7.927;6.0;10.71;7.06;10.454
;;7.948;6.0;10.71;7.06;10.454
;;7.972;6.0;10.71;7.06;10.454
;;7.993;6.0;10.71;7.06;10.454
;;8.014;6.0;10.71;7.06;10.454
;;8.036;6.0;10.71;7.06;10.453
;;8.063;6.0;10.71;7.06;10.453
;;8.086;6.0;10.71;7.06;10.453
;;8.108;6.0;10.71;7.06;10.453
;;8.131;6.0;10.71;7.06;10.452
;;8.157;6.0;10.71;7.06;10.452
;;8.178;6.0;10.71;7.06;10.452
;;8.2;6.0;10.71;7.06;10.452
;;8.221;6.0;10.71;7.05;10.452
;;8.247;6.0;10.71;7.05;10.451
;;8.269;6.0;10.71;7.05;10.451
;;8.289;6.0;10.71;7.05;10.451
;;8.31;6.0;10.71;7.05;10.45
;;8.336;6.0;10.71;7.05;10.45
;;8.357;6.0;10.71;7.05;10.45
;;8.378;6.0;10.71;7.05;10.449
;;8.4;6.0;10.71;7.05;10.448
;;8.421;6.0;10.7;7.05;10.448
;;8.447;6.0;10.7;7.05;10.447
;;8.468;6.0;10.7;7.05;10.445
;;9.228;6.0;10.7;7.05;10.444
;;9.283;6.0;10.7;7.05;10.443
;;9.329;6.0;10.7;7.05;10.441
;;9.359;6.0;10.7;7.05;10.441
;;9.389;6.0;10.69;7.05;10.439
;;9.418;6.0;10.69;7.04;10.439
;;9.444;6.0;10.69;7.04;10.438
;;9.471;6.0;10.68;7.04;10.437
;;9.494;6.0;10.68;7.04;10.436
;;9.517;6.0;10.68;7.04;10.435
;;9.539;6.0;10.67;7.04;10.434
;;9.566;6.0;10.67;7.04;10.434
;;9.588;6.0;10.66;7.04;10.433
;;9.611;6.0;10.66;7.04;10.433
;;9.633;6.0;10.65;7.04;10.433
;;9.659;6.0;10.65;7.03;10.433
;;9.679;6.0;10.64;7.03;10.432
;;9.699;6.0;10.64;7.03;10.432
;;9.719;6.0;10.63;7.03;10.431
;;9.739;6.0;10.63;7.03;10.43
;;9.763;6.0;10.63;7.03;10.43
;;9.784;6.0;10.62;7.03;10.429
;;9.805;6.0;10.62;7.02;10.429
;;9.825;6.0;10.62;7.02;10.429
;;9.85;6.0;10.61;7.02;10.428
;;9.871;6.0;10.61;7.02;10.428
;;9.892;6.0;10.61;7.02;10.428
;;9.913;6.0;10.61;7.02;10.428
;;9.938;6.0;10.6;7.02;10.427
;;9.958;6.0;10.6;7.01;10.427
;;9.979;6.0;10.6;7.01;10.427
;;10.0;6.0;10.6;7.01;10.427
;;10.022;6.0;10.6;7.01;10.426
;;10.048;6.0;10.59;7.01;10.426
;;10.068;6.0;10.59;7.01;10.426
;;10.088;6.0;10.59;7.01;10.426
;;10.107;6.0;10.59;7.01;10.426
;;10.13;6.0;10.59;7.01;10.426
;;10.857;6.0;10.59;7.01;10.426
;;10.908;6.0;10.59;7.01;10.426
;;10.955;6.0;10.59;7.0;10.426
;;11.012;6.0;10.59;7.0;10.426
;;11.021;6.0;10.58;7.0;10.427
;;11.045;6.0;10.58;7.0;10.427
;;11.071;6.0;10.58;7.0;10.427
;;11.093;6.0;10.58;7.0;10.427
;;11.116;6.0;10.58;7.0;10.428
;;11.133;6.0;10.58;7.0;10.428
;;11.15;6.0;10.58;7.0;10.429
;;11.166;6.0;10.58;7.0;10.429
;;11.182;6.0;10.58;7.0;10.43
;;11.193;6.0;10.58;7.0;10.43
;;11.203;6.0;10.58;7.0;10.43
;;11.211;6.0;10.57;7.0;10.43
;;11.22;6.0;10.57;7.0;10.431
;;11.227;6.0;10.57;7.0;10.431
;;11.234;6.0;10.57;7.0;10.431
;;11.247;6.0;10.54;7.0;10.432
;;0.056;5.1;9.5;6.88;12.295
;;0.057;5.1;9.5;6.88;12.287
;;0.058;5.1;9.5;6.88;12.285
;;0.059;5.1;9.5;6.87;12.282
;;0.06;5.1;9.5;6.87;12.281
;;0.061;5.1;9.5;6.87;12.278
;;0.062;5.1;9.5;6.87;12.277
;;0.064;5.1;9.5;6.86;12.276
;;0.067;5.1;9.51;6.86;12.275
;;0.069;5.1;9.5;6.86;12.275
;;0.072;5.1;9.51;6.86;12.275
;;0.074;5.1;9.51;6.86;12.276
;;0.077;5.1;9.51;6.86;12.277
;;0.079;5.1;9.51;6.86;12.279
;;0.081;5.1;9.51;6.85;12.281
;;0.083;5.1;9.51;6.85;12.284
;;0.084;5.1;9.51;6.85;12.285
;;0.085;5.1;9.51;6.85;12.287
;;0.086;5.1;9.51;6.84;12.304
;;0.088;5.1;9.51;6.84;12.307
;;0.091;5.1;9.51;6.84;12.31
;;0.093;5.1;9.51;6.84;12.313
;;0.097;5.1;9.51;6.84;12.316
;;0.101;5.1;9.51;6.84;12.321
;;0.108;5.1;9.51;6.84;12.325
;;0.117;5.1;9.51;6.84;12.331
;;0.131;5.1;9.51;6.84;12.333
;;0.944;5.1;9.51;6.83;12.334
;;1.04;5.1;9.51;6.83;12.335
;;1.046;5.1;9.51;6.83;12.334
;;1.077;5.1;9.51;6.83;12.332
;;1.086;5.1;9.51;6.83;12.33
;;1.104;5.1;9.51;6.83;12.327
;;1.113;5.1;9.51;6.82;12.322
;;1.119;5.1;9.51;6.82;12.318
;;1.121;5.1;9.5;6.82;12.312
;;1.126;5.1;9.5;6.82;12.308
;;1.133;5.1;9.5;6.82;12.302
;;1.142;5.1;9.5;6.82;12.296
;;1.155;5.1;9.5;6.82;12.292
;;1.174;5.1;9.5;6.82;12.288
;;1.192;5.0;9.5;6.82;12.283
;;1.21;5.0;9.5;6.82;12.28
;;1.226;5.0;9.5;6.82;12.276
;;1.243;5.0;9.5;6.81;12.273
;;1.265;5.1;9.5;6.81;12.271
;;1.287;5.1;9.5;6.81;12.269
;;1.307;5.1;9.5;6.81;12.267
;;1.326;5.1;9.5;6.81;12.265
;;1.348;5.1;9.5;6.81;12.263
;;1.367;5.1;9.5;6.81;12.262
;;1.387;5.1;9.5;6.81;12.261
;;1.407;5.1;9.5;6.81;12.261
;;1.43;5.1;9.5;6.81;12.26
;;1.45;5.1;9.5;6.81;12.259
;;1.47;5.1;9.5;6.81;12.259
;;1.491;5.1;9.5;6.81;12.258
;;1.516;5.1;9.5;6.81;12.257
;;1.536;5.1;9.5;6.81;12.256
;;1.556;5.1;9.5;6.81;12.255
;;1.574;5.1;9.5;6.81;12.254
;;1.592;5.1;9.5;6.81;12.253
;;1.612;5.1;9.5;6.81;12.252
;;1.63;5.1;9.5;6.81;12.25
;;1.648;5.1;9.49;6.81;12.248
;;1.667;5.1;9.5;6.81;12.247
;;1.685;5.1;9.49;6.8;12.245
;;2.449;5.1;9.49;6.8;12.244
;;2.505;5.1;9.49;6.8;12.242
;;2.519;5.0;9.49;6.8;12.241
;;2.528;5.0;9.49;6.8;12.24
;;2.563;5.0;9.49;6.8;12.237
;;2.585;5.0;9.49;6.8;12.235
;;2.6;5.0;9.49;6.8;12.233
;;2.617;5.0;9.49;6.8;12.23
;;2.634;5.1;9.49;6.8;12.227
;;2.655;5.1;9.49;6.8;12.223
;;2.67;5.1;9.49;6.8;12.219
;;2.685;5.1;9.49;6.8;12.212
;;2.7;5.1;9.49;6.8;12.205
;;2.72;5.1;9.49;6.8;12.196
;;2.736;5.1;9.48;6.8;12.188
;;2.754;5.1;9.48;6.8;12.178
;;2.773;5.1;9.48;6.8;12.169
;;2.795;5.1;9.48;6.8;12.159
;;2.814;5.0;9.48;6.8;12.149
;;2.831;5.0;9.48;6.8;12.139
;;2.849;5.0;9.48;6.8;12.131
;;2.868;5.0;9.48;6.8;12.122
;;2.885;5.0;9.48;6.8;12.116
;;2.902;5.0;9.48;6.8;12.109
;;2.92;5.0;9.48;6.8;12.104
;;2.939;5.0;9.48;6.8;12.101
;;2.963;5.0;9.48;6.8;12.097
;;2.984;5.0;9.48;6.8;12.094
;;3.004;5.0;9.48;6.8;12.092
;;3.024;5.0;9.48;6.8;12.09
;;3.048;5.0;9.48;6.8;12.089
;;3.068;5.0;9.48;6.8;12.087
;;3.089;5.0;9.48;6.8;12.085
;;3.109;5.0;9.48;6.8;12.083
;;3.13;5.0;9.48;6.8;12.081
;;3.154;5.0;9.48;6.8;12.079
;;3.893;5.0;9.48;6.8;12.077
;;3.961;5.0;9.48;6.8;12.076
;;3.997;5.0;9.48;6.8;12.074
;;4.004;5.0;9.47;6.8;12.073
;;4.016;5.0;9.47;6.8;12.071
;;4.032;5.0;9.47;6.8;12.069
;;4.054;5.0;9.47;6.8;12.068
;;4.077;5.0;9.47;6.8;12.067
;;4.102;5.0;9.47;6.8;12.066
;;4.122;5.0;9.47;6.8;12.065
;;4.145;5.0;9.47;6.8;12.064
;;4.17;5.0;9.47;6.79;12.064
;;4.199;5.0;9.47;6.79;12.063
;;4.222;5.0;9.47;6.79;12.062
;;4.246;5.0;9.47;6.79;12.062
;;4.27;5.0;9.47;6.79;12.061
;;4.297;5.0;9.47;6.79;12.061
;;4.32;5.0;9.47;6.79;12.06
;;4.342;5.0;9.46;6.79;12.059
;;4.365;5.0;9.46;6.79;12.059
;;4.392;5.0;9.46;6.79;12.058
;;4.415;5.0;9.46;6.79;12.058
;;4.439;5.0;9.46;6.79;12.057
;;4.462;5.0;9.46;6.79;12.057
;;4.487;5.0;9.46;6.79;12.056
;;4.516;5.0;9.46;6.79;12.056
;;4.541;5.0;9.46;6.79;12.055
;;4.564;5.0;9.46;6.79;12.055
;;4.588;5.0;9.46;6.79;12.055
;;4.616;5.0;9.46;6.79;12.054
;;4.638;5.0;9.46;6.79;12.054
;;4.661;5.0;9.46;6.79;12.053
;;4.682;5.0;9.46;6.79;12.052
;;4.704;5.0;9.46;6.79;12.05
;;5.441;5.0;9.46;6.79;12.05
;;5.484;5.0;9.46;6.79;12.048
;;5.527;5.0;9.46;6.79;12.047
;;5.538;5.0;9.46;6.79;12.045
;;5.549;5.0;9.46;6.79;12.045
;;5.567;5.0;9.46;6.79;12.043
;;5.584;5.0;9.46;6.79;12.042
;;5.604;5.0;9.46;6.79;12.041
;;5.626;5.0;9.46;6.79;12.04
;;5.653;5.0;9.45;6.79;12.039
;;5.676;5.0;9.46;6.79;12.038
;;5.698;5.0;9.46;6.79;12.037
;;5.722;5.0;9.45;6.79;12.037
;;5.75;5.0;9.45;6.79;12.036
;;5.776;5.0;9.45;6.79;12.036
;;5.801;5.0;9.45;6.79;12.035
;;5.827;5.0;9.45;6.79;12.035
;;5.856;5.0;9.45;6.79;12.034
;;5.88;5.0;9.45;6.79;12.033
;;5.903;5.0;9.45;6.79;12.032
;;5.927;5.0;9.45;6.79;12.032
;;5.95;5.0;9.45;6.79;12.03
;;5.979;5.0;9.45;6.79;12.03
;;6.003;5.0;9.45;6.79;12.029
;;6.028;5.0;9.45;6.79;12.028
;;6.054;5.0;9.45;6.79;12.026
;;6.085;5.0;9.45;6.79;12.025
;;6.111;5.0;9.45;6.79;12.024
;;6.136;5.0;9.45;6.79;12.023
;;6.16;5.0;9.45;6.79;12.021
;;6.188;5.0;9.45;6.79;12.02
;;6.212;5.0;9.45;6.79;12.019
;;6.96;5.0;9.45;6.79;12.018
;;7.041;5.0;9.45;6.78;12.016
;;7.062;5.0;9.45;6.78;12.015
;;7.095;5.0;9.45;6.78;12.014
;;7.125;5.0;9.45;6.78;12.014
;;7.151;5.0;9.45;6.78;12.013
;;7.181;5.0;9.45;6.78;12.012
;;7.212;5.0;9.45;6.78;12.012
;;7.248;5.0;9.45;6.78;12.011
;;7.277;5.0;9.45;6.78;12.01
;;7.304;5.0;9.45;6.78;12.01
;;7.331;5.0;9.45;6.78;12.01
;;7.362;5.0;9.45;6.78;12.009
;;7.388;5.0;9.45;6.78;12.009
;;7.413;5.0;9.45;6.78;12.008
;;7.439;5.0;9.45;6.78;12.008
;;7.471;5.0;9.45;6.78;12.007
;;7.496;5.0;9.44;6.78;12.006
;;7.522;5.0;9.44;6.78;12.006
;;7.546;5.0;9.44;6.78;12.005
;;7.575;5.0;9.44;6.78;12.005
;;7.599;5.0;9.44;6.78;12.004
;;7.623;5.0;9.44;6.78;12.003
