nom du projet;nom du site;nom de la plateforme;outil de mesure;commentaire sonde;date de prélèvement;heure;profondeur réelle observée (m);cond25degres (ms/cm);oxygene mg (mg/l);ph tc (nounit);Température (°c)
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.105;6.0;10.85;7.51;10.687
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.118;6.0;10.85;7.5;10.678
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.132;6.0;10.85;7.5;10.672
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.146;6.0;10.85;7.49;10.666
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.161;6.0;10.85;7.49;10.659
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.18;6.0;10.86;7.49;10.651
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.196;6.0;10.86;7.48;10.644
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.214;6.0;10.86;7.48;10.633
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.232;6.0;10.86;7.48;10.623
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.255;6.0;10.86;7.48;10.616
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.275;6.0;10.86;7.47;10.608
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.295;6.0;10.86;7.47;10.601
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.316;6.0;10.86;7.47;10.595
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.342;6.0;10.86;7.47;10.589
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.364;6.0;10.86;7.47;10.582
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.387;6.0;10.86;7.47;10.576
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.41;6.0;10.86;7.46;10.567
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.434;6.0;10.86;7.46;10.56
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.462;6.0;10.86;7.46;10.554
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.487;6.0;10.86;7.46;10.551
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.511;6.0;10.86;7.46;10.549
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.537;6.0;10.86;7.46;10.548
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.569;6.0;10.86;7.46;10.546
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.596;6.0;10.86;7.45;10.544
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.624;6.0;10.86;7.45;10.543
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.652;6.0;10.86;7.45;10.542
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.681;6.0;10.86;7.45;10.54
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.714;6.0;10.86;7.45;10.54
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.741;6.0;10.86;7.45;10.539
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.767;6.0;10.86;7.45;10.538
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.792;6.0;10.86;7.45;10.538
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.82;6.0;10.86;7.45;10.537
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.844;6.0;10.86;7.44;10.537
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.867;6.0;10.86;7.44;10.536
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.889;6.0;10.86;7.44;10.535
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.914;6.0;10.86;7.44;10.534
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.935;6.0;10.86;7.44;10.534
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.955;6.0;10.86;7.44;10.533
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.975;6.0;10.86;7.43;10.533
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;0.996;6.0;10.86;7.43;10.532
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.021;6.0;10.86;7.43;10.532
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.043;6.0;10.86;7.43;10.531
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.063;6.0;10.85;7.43;10.531
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.083;6.0;10.85;7.42;10.53
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.106;6.0;10.85;7.42;10.53
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.126;6.0;10.85;7.42;10.529
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.145;6.0;10.85;7.42;10.529
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.163;6.0;10.85;7.42;10.529
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.185;6.0;10.85;7.42;10.529
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.202;6.0;10.85;7.41;10.529
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.22;6.0;10.85;7.41;10.529
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.238;6.0;10.85;7.41;10.529
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.255;6.0;10.85;7.41;10.529
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.276;6.0;10.85;7.41;10.529
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.293;6.0;10.85;7.4;10.529
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.311;6.0;10.85;7.4;10.53
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.329;6.0;10.85;7.4;10.53
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.35;6.0;10.85;7.4;10.531
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.367;6.0;10.85;7.4;10.532
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.384;6.0;10.85;7.4;10.532
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.401;6.0;10.85;7.4;10.532
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.421;6.0;10.85;7.39;10.532
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.438;6.0;10.85;7.39;10.532
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.455;6.0;10.85;7.39;10.531
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.472;6.0;10.85;7.39;10.53
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.492;6.0;10.85;7.39;10.53
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.508;6.0;10.85;7.39;10.529
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.524;6.0;10.85;7.39;10.529
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.54;6.0;10.85;7.39;10.529
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.556;6.0;10.85;7.39;10.527
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.575;6.0;10.85;7.39;10.525
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.591;6.0;10.85;7.39;10.523
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.607;6.0;10.85;7.39;10.522
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.624;6.0;10.85;7.39;10.52
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.644;6.0;10.85;7.39;10.519
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.661;6.0;10.85;7.39;10.518
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.677;6.0;10.85;7.39;10.517
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.693;6.0;10.85;7.39;10.517
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.708;6.0;10.85;7.39;10.516
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.726;6.0;10.85;7.39;10.516
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.741;6.0;10.84;7.39;10.515
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.756;6.0;10.84;7.38;10.515
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.77;6.0;10.84;7.38;10.514
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.786;6.0;10.84;7.38;10.515
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.799;6.0;10.84;7.38;10.515
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.812;6.0;10.84;7.38;10.515
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.827;6.0;10.84;7.38;10.515
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.84;6.0;10.84;7.38;10.515
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.852;6.0;10.84;7.38;10.515
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.864;6.0;10.84;7.38;10.515
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.877;6.0;10.84;7.38;10.515
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.892;6.0;10.84;7.38;10.514
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.903;6.0;10.84;7.37;10.514
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.915;6.0;10.83;7.37;10.514
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.926;6.0;10.84;7.37;10.514
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.938;6.0;10.84;7.37;10.513
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.952;6.0;10.84;7.37;10.513
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.964;6.0;10.84;7.37;10.513
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.975;6.0;10.84;7.37;10.513
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.986;6.0;10.84;7.37;10.513
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;1.999;6.0;10.84;7.37;10.512
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.01;6.0;10.84;7.36;10.512
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.021;6.0;10.84;7.36;10.511
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.032;6.0;10.84;7.36;10.511
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.047;6.0;10.84;7.36;10.511
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.058;6.0;10.84;7.36;10.51
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.069;6.0;10.84;7.36;10.51
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.081;6.0;10.84;7.35;10.509
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.095;6.0;10.83;7.35;10.509
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.107;6.0;10.83;7.35;10.508
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.119;6.0;10.83;7.35;10.508
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.131;6.0;10.83;7.35;10.508
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.143;6.0;10.83;7.35;10.507
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.158;6.0;10.83;7.34;10.507
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.171;6.0;10.83;7.34;10.508
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.185;6.0;10.83;7.34;10.508
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.199;6.0;10.83;7.34;10.508
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.216;6.0;10.83;7.34;10.508
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.231;6.0;10.82;7.34;10.508
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.246;6.0;10.82;7.34;10.508
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.261;6.0;10.82;7.34;10.507
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.277;6.0;10.82;7.33;10.507
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.297;6.0;10.82;7.33;10.506
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.314;6.0;10.82;7.33;10.506
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.331;6.0;10.82;7.33;10.505
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.349;6.0;10.82;7.33;10.504
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.369;6.0;10.82;7.33;10.503
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.386;6.0;10.82;7.33;10.502
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.404;6.0;10.82;7.32;10.501
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.422;6.0;10.81;7.32;10.5
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.444;6.0;10.81;7.32;10.499
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.462;6.0;10.81;7.32;10.498
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.481;6.0;10.81;7.32;10.497
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.499;6.0;10.81;7.32;10.496
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.522;6.0;10.81;7.31;10.496
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.541;6.0;10.81;7.31;10.496
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.56;6.0;10.81;7.31;10.495
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.579;6.0;10.81;7.31;10.494
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.599;6.0;10.81;7.31;10.494
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.623;6.0;10.81;7.31;10.494
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.642;6.0;10.81;7.3;10.493
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.661;6.0;10.81;7.3;10.493
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.681;6.0;10.81;7.3;10.492
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.704;6.0;10.81;7.3;10.492
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.724;6.0;10.8;7.3;10.492
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.743;6.0;10.8;7.3;10.491
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.763;6.0;10.8;7.3;10.491
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.782;6.0;10.8;7.3;10.49
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.805;6.0;10.8;7.3;10.49
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.824;6.0;10.8;7.29;10.49
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.843;6.0;10.8;7.29;10.49
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.862;6.0;10.8;7.29;10.49
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.886;6.0;10.8;7.29;10.489
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.905;6.0;10.8;7.29;10.49
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.924;6.0;10.8;7.29;10.49
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.943;6.0;10.8;7.29;10.49
Suivi des lacs sentinelles;Bresses inférieur;Bresses inférieur : centroïde;sonde exo IMBE;;21/09/2016;;2.966;6.0;10.8;7.29;10.49
